Drug Name,CNN_CNN,Daylight_AAC,Morgan_AAC,Morgan_CNN,MPNN_CNN
US_218,259.36,117.48,652.96,9141.15,7347.16
US_284,261.54,408.06,758.12,4679.1,828.17
US_213,261.78,271.52,345.51,1407.61,3996.61
US_181,263.28,164.32,9840.54,3576.11,6266.25
31678_55,265.05,162.85,12381.07,41199.28,1682.33
US_271,266.34,652.75,1042.73,16924.21,3357.75
US_138,266.45,190.98,739.15,342.15,2508.65
paper_23,266.62,623.05,356.48,1644.62,3728.04
US_158,268.01,472.87,199.26,1922.77,6340.61
US_222,269.08,781.14,572.84,5057.3,140.06
US_40,270.63,326.61,139.25,294.11,1.25
US_341,271.62,710.74,1070.74,1676.19,1575.53
US_363,276.85,167.63,941.56,797.72,3235.07
US_209,277.29,477.9,235.02,441.08,8686.29
US_424,278.16,941.33,532.12,131.43,2773.65
646_54,280.81,573.66,375.37,5469.31,751.79
US_461,282.0,111.65,484.81,3320.34,2727.89
US_365,282.97,468.96,811.19,305.07,4314.25
US_78,285.46,447.42,524.09,3363.13,5637.08
US_153,286.74,206.62,311.79,97.98,9312.19
US_279,290.5,1150.5,1075.03,2149.89,5705.74
US_47,291.8,202.82,575.07,1412.05,1891.31
US_75,291.8,208.26,1198.55,20059.87,1423.31
US_440,292.45,994.83,104155.75,13458.25,2398.07
US_102,292.81,201.52,484.73,579.81,102758.15
625_10,294.8,239.21,293.15,3649.46,1598.66
paper_8,297.83,238.16,533.93,6183.01,2281.22
US_70,300.22,116.23,423.47,31914.94,407.35
US_63,305.82,366.81,682.18,3318.5,2966.43
646_59,308.53,1086.17,19328.65,15763.99,1471.43
US_68,309.74,204.29,714.47,15461.17,1131.51
US_208,311.35,864.94,744.55,874.75,3530.43
US_275,311.88,1005.5,447.91,420.38,1113.19
US_314,315.86,747.15,437.29,677.81,1668.89
646_84,324.78,560.31,93993.6,9635.15,2936.46
US_407,325.77,1940.84,1304.97,1315.66,635.58
US_156,327.45,512.91,371.3,933.96,5510.45
US_99,330.39,255.08,714.73,779.48,6324.15
US_248,330.5,955.59,342.04,1672.0,3939.39
US_104,332.32,215.83,1319.06,2958.32,2221.34
US_17,335.95,162.43,627.28,536.79,10013.01
paper_7,337.05,440.71,1529.49,10358.74,4298.13
31678_53,340.46,157.25,9171.98,74199.73,0.8
US_193,348.47,1203.97,394.51,111.48,6141.6
US_189,348.52,1001.04,822.41,2778.89,3998.81
US_340,348.55,649.06,1127.98,2174.12,0.14
